year,month,day,hour,pm2.5,cbwd,DEWP,TEMP,PRES,Iws,Is,Ir
2010,1,1,0,NA,NW,-21,-11,1021,1.79,0,0
2010,1,1,1,NA,NW,-21,-12,1020,4.92,0,0
2010,1,1,2,NA,NW,-21,-11,1019,6.71,0,0
2010,1,1,3,NA,NW,-21,-14,1019,9.84,0,0
2010,1,1,4,NA,NW,-20,-12,1018,12.97,0,0
2010,1,1,5,NA,NW,-19,-10,1017,16.1,0,0
2010,1,1,6,NA,NW,-19,-9,1017,19.23,0,0
2010,1,1,7,NA,NW,-19,-9,1017,21.02,0,0
2010,1,1,8,NA,NW,-19,-9,1017,24.15,0,0
2010,1,1,9,NA,NW,-20,-8,1017,27.28,0,0
2010,1,1,10,NA,NW,-19,-7,1017,31.3,0,0
2010,1,1,11,NA,NW,-18,-5,1017,34.43,0,0
2010,1,1,12,NA,NW,-19,-5,1015,37.56,0,0
2010,1,1,13,NA,NW,-18,-3,1015,40.69,0,0
2010,1,1,14,NA,NW,-18,-2,1014,43.82,0,0
2010,1,1,15,NA,cv,-18,-1,1014,0.89,0,0
2010,1,1,16,NA,NW,-19,-2,1015,1.79,0,0
2010,1,1,17,NA,NW,-18,-3,1015,2.68,0,0
2010,1,1,18,NA,NE,-18,-5,1016,1.79,0,0
2010,1,1,19,NA,NW,-17,-4,1017,1.79,0,0
2010,1,1,20,NA,cv,-17,-5,1017,0.89,0,0
2010,1,1,21,NA,NW,-17,-5,1018,1.79,0,0
2010,1,1,22,NA,NW,-17,-5,1018,2.68,0,0
2010,1,1,23,NA,cv,-17,-5,1020,0.89,0,0
2010,1,2,0,129,SE,-16,-4,1020,1.79,0,0
2010,1,2,1,148,SE,-15,-4,1020,2.68,0,0
2010,1,2,2,159,SE,-11,-5,1021,3.57,0,0
2010,1,2,3,181,SE,-7,-5,1022,5.36,1,0
2010,1,2,4,138,SE,-7,-5,1022,6.25,2,0
2010,1,2,5,109,SE,-7,-6,1022,7.14,3,0
2010,1,2,6,105,SE,-7,-6,1023,8.93,4,0
2010,1,2,7,124,SE,-7,-5,1024,10.72,0,0
2010,1,2,8,120,SE,-8,-6,1024,12.51,0,0
2010,1,2,9,132,SE,-7,-5,1025,14.3,0,0
2010,1,2,10,140,SE,-7,-5,1026,17.43,1,0
2010,1,2,11,152,SE,-8,-5,1026,20.56,0,0
2010,1,2,12,148,SE,-8,-5,1026,23.69,0,0
